pair,crop,mae,rmse,mape,n_rows,n_folds,target
fish_mackerel/Ho,fish_mackerel,1.2122013013419648,1.689936591291907,15.022587098189357,30,3,returns
fish_mackerel/Kintampo,fish_mackerel,2.7178323357445855,4.698430547898078,33.05133274742295,30,3,returns
fish_mackerel/Koforidua,fish_mackerel,3.1732979866436546,4.018567725170165,25.471493830225285,22,2,returns
fish_mackerel/Kumasi,fish_mackerel,1.9672830847331453,2.636040087704019,18.719267411530414,31,3,returns
fish_mackerel/Mankessim,fish_mackerel,1.723468570907911,2.7012950373967315,16.439610770612095,32,3,returns
fish_mackerel/Obuasi,fish_mackerel,3.1489677664968703,4.087452401746071,24.27572320233282,29,2,returns
fish_mackerel/Sekondi-Takoradi,fish_mackerel,2.2652220130711793,3.3808620950796744,16.79947357594905,33,3,returns
fish_mackerel/Sunyani,fish_mackerel,2.591977796554565,4.971255771132138,25.2615622651294,34,3,returns
fish_mackerel/Tamale,fish_mackerel,3.1274304309913092,4.167345992057684,18.503436281984794,31,3,returns
fish_mackerel/Techiman,fish_mackerel,2.97785272402068,4.845773408190645,31.65549213140503,35,3,returns
fish_mackerel/Tema,fish_mackerel,4.889714465510276,6.7549472235836205,35.99439654878967,31,3,returns
fish_mackerel/Wa,fish_mackerel,3.556377962761455,5.121170033070202,33.410440788879846,27,2,returns
garden_egg/Accra,garden_egg,1.2378793931448904,1.5606008360604882,18.205442590237876,38,3,returns
garden_egg/Bolgatanga,garden_egg,0.842700211604436,1.1893497050779505,19.68554183054183,19,1,returns
garden_egg/Cape Coast,garden_egg,2.191826801647743,3.208920356665427,43.34448160153422,35,3,returns
garden_egg/Ho,garden_egg,2.0514081286142267,3.294458211232673,47.72699175051354,33,3,returns
garden_egg/Hohoe,garden_egg,5.6321887898445135,7.245368705839365,51.79350332837017,19,1,returns
garden_egg/Kintampo,garden_egg,1.666285615861416,2.4611577823926982,23.94140898700552,33,3,returns
garden_egg/Koforidua,garden_egg,3.8396465492248533,5.452290431128042,68.85640364121511,27,2,returns
garden_egg/Kumasi,garden_egg,2.6058682544584624,3.483791155608197,30.858751864532667,36,3,returns
garden_egg/Mankessim,garden_egg,1.1977386119851359,1.666983642972143,39.233613076853196,36,3,returns
garden_egg/Obuasi,garden_egg,0.7682676792144775,1.2531004687948304,24.794686216156865,35,3,returns
garden_egg/Sekondi-Takoradi,garden_egg,2.1133207229773205,3.216067118506068,18.857867543350082,37,3,returns
garden_egg/Sunyani,garden_egg,1.6198720135512172,2.0100663700442,80.89758212479947,37,3,returns
garden_egg/Tamale,garden_egg,0.9795316728452841,1.6930628366797322,25.885509072497225,35,3,returns
garden_egg/Techiman,garden_egg,2.4730422839411976,3.5393947687287493,39.532850150578675,39,3,returns
garden_egg/Tema,garden_egg,4.81521578071018,6.813746385263038,28.71259359260792,35,3,returns
garden_egg/Wa,garden_egg,6.998012422720592,11.321223686362863,117.29310594296302,18,1,returns
maize/Accra,maize,0.29944892746210094,0.3672271857205933,8.002090581846293,52,4,returns
maize/Bolgatanga,maize,0.3032121527014356,0.4004216513519287,9.875993288005487,47,3,returns
maize/Cape Coast,maize,0.27142042639851566,0.34023226841455634,5.146249560290614,52,4,returns
maize/Ejura,maize,0.42766441646076386,0.6067054837626155,15.487201738528034,31,3,returns
maize/Garu,maize,0.3899360446631909,0.553622640290446,11.457019536270167,25,2,returns
maize/Ho,maize,0.33033567460378005,0.5103702062523937,7.674683902213857,41,3,returns
maize/Hohoe,maize,0.6236610162258148,0.6895833463286706,15.21394658254493,21,1,returns
maize/Kintampo,maize,0.2779182513886027,0.3902520375303918,9.734523040238248,49,3,returns
maize/Koforidua,maize,0.35800318545103077,0.638544957185824,10.97355233550198,40,3,returns
maize/Kumasi,maize,0.4745728906989096,0.6604852094136338,10.884347207428405,50,4,returns
maize/Mankessim,maize,0.3509631742238999,0.48738195296696946,8.321145510102538,43,3,returns
maize/Obuasi,maize,0.6326237757007281,0.9522946689130031,11.221312278045636,42,3,returns
maize/Sekondi-Takoradi,maize,0.34322512603468347,0.5141473160136445,6.061104173391386,48,3,returns
maize/Sunyani,maize,0.5582025700509547,0.6958179631664588,17.995620209918545,51,4,returns
maize/Tamale,maize,0.3394310906926791,0.4324167950624511,10.840025298272243,43,3,returns
maize/Techiman,maize,0.2594927113652229,0.33149329372070835,9.31363908099923,53,4,returns
maize/Tema,maize,0.5588901053865749,0.731656848988341,10.340001342805358,49,3,returns
maize/Wa,maize,0.3227318521340688,0.39580108249006596,9.695240388546114,40,3,returns
maize/Yendi,maize,0.2927068218679139,0.4373646207130321,9.074758452032716,44,3,returns
millet/Accra,millet,0.5497606522142886,0.9310418423776277,9.228438445502736,52,4,returns
millet/Bolgatanga,millet,0.4934486204205137,0.7916504303393316,10.25858192670407,47,3,returns
millet/Cape Coast,millet,0.4751471394079703,0.622749795997592,4.718441111489038,38,3,returns
millet/Garu,millet,1.0010513570478987,1.2325394919279349,19.973791425815065,23,2,returns
millet/Ho,millet,0.6928286326428253,0.8339235896135996,9.759683825079302,34,3,returns
millet/Hohoe,millet,0.6699466976949144,1.1091832413244995,6.744129910983486,21,1,returns
millet/Kintampo,millet,0.46166715641816464,0.5650046044529539,7.634336454106184,35,3,returns
millet/Koforidua,millet,0.3967635771301057,0.664611593832179,6.135563943110643,27,2,returns
millet/Kumasi,millet,0.3470248515903951,0.4883599737432278,5.913893301692633,50,4,returns
millet/Mankessim,millet,0.8842107709248861,1.2190380590419305,11.074646189564552,36,3,returns
millet/Obuasi,millet,0.6768222202857336,0.9750337411555913,10.063243490358762,35,3,returns
millet/Sekondi-Takoradi,millet,0.3928582615764052,0.5453603210228454,4.321077645193451,37,3,returns
millet/Sunyani,millet,0.9693982791017604,1.2170325740720962,15.326935860793162,38,3,returns
millet/Tamale,millet,0.4569443267186482,0.5958769278180549,8.41601855607907,43,3,returns
millet/Techiman,millet,0.3796488453745843,0.5745504282633203,8.160883525459319,53,4,returns
millet/Tema,millet,0.7689470594238351,1.0267770493362292,9.46968800660063,36,3,returns
millet/Wa,millet,0.36005047996838885,0.47504775199193405,6.982256628370078,40,3,returns
millet/Yendi,millet,0.3979314230548012,0.5198631923552609,7.314805006264991,39,3,returns
onion/Accra,onion,0.6370653190436187,0.9277853365970793,26.748458498438975,38,3,returns
onion/Bolgatanga,onion,0.9858114606142044,1.7086749983823504,20.509823732002065,30,3,returns
onion/Cape Coast,onion,0.8282283643439964,1.1160128437216195,20.409728663272848,37,3,returns
onion/Ho,onion,0.4302579180967241,0.5955394195986968,12.180519908411293,31,3,returns
onion/Kintampo,onion,0.7847051260372003,1.092169185385464,29.87930481748545,33,3,returns
onion/Koforidua,onion,1.4743796840310095,2.3466724093528337,45.495001203634246,24,2,returns
onion/Kumasi,onion,0.9753591559551381,1.1568375245559492,26.539078820569717,36,3,returns
onion/Mankessim,onion,0.6490280228108168,0.8810226757579681,28.226332362318555,35,3,returns
onion/Obuasi,onion,0.9214624625941118,1.2511461935163684,37.21863297085554,34,3,returns
onion/Sekondi-Takoradi,onion,1.0354616448393574,1.219527501487025,22.8692256628418,37,3,returns
onion/Sunyani,onion,1.0701435979428113,1.5102889849555858,46.78924028963494,37,3,returns
onion/Tamale,onion,1.342893245021502,1.945087275107337,36.6945686617893,36,3,returns
onion/Techiman,onion,0.8159364077779983,1.0067187645053768,29.31100496541531,38,3,returns
onion/Tema,onion,4.605970983350719,6.853577099238623,54.66106983654898,36,3,returns
pepper/Accra,pepper,1.4756793919095283,2.314600519950527,17.498023278677664,38,3,returns
pepper/Bolgatanga,pepper,5.045217826134628,8.33427183141553,88.54735650741189,28,2,returns
pepper/Cape Coast,pepper,3.1792550733575116,4.237281506964046,55.07157575795433,37,3,returns
pepper/Ho,pepper,1.0524600846072036,1.7069514975560376,33.05100904636417,34,3,returns
pepper/Hohoe,pepper,3.088878418207169,3.9189477562706756,25.13283494503996,20,2,returns
pepper/Kintampo,pepper,3.6372016440828645,5.260216239796163,104.54195978538661,33,3,returns
pepper/Koforidua,pepper,15.316668213121591,24.319232454668175,99.01548676206815,26,2,returns
pepper/Kumasi,pepper,2.8908167636173743,3.7132378146373792,29.135549771729426,36,3,returns
pepper/Mankessim,pepper,1.0355575494633777,1.2944824853218793,27.391094384023194,36,3,returns
pepper/Obuasi,pepper,4.169005536784728,5.928537493745573,48.94548585995215,35,3,returns
pepper/Sekondi-Takoradi,pepper,3.27748418479054,4.368514311710989,32.74851385296847,37,3,returns
pepper/Sunyani,pepper,3.215288614233334,4.050454630693209,64.06240603596258,37,3,returns
pepper/Tamale,pepper,1.597001718459306,2.6778847656109437,9.515386279505188,36,3,returns
pepper/Techiman,pepper,2.191891542054989,2.6486248051875054,28.461079565219347,38,3,returns
pepper/Tema,pepper,6.0120891930162905,7.222154052204874,33.454467814340916,35,3,returns
plantain/Accra,plantain,1.1682690038383003,1.479315052611458,27.62741370827752,51,4,returns
plantain/Bolgatanga,plantain,1.558625892539819,2.092414610466499,22.22966056494174,43,3,returns
plantain/Cape Coast,plantain,2.57222840538621,3.547526814697662,39.15164670630115,51,4,returns
plantain/Ejura,plantain,2.0354483209384813,2.379146756469738,40.92787394204535,28,2,returns
plantain/Garu,plantain,1.7829849665505544,2.4089322462227476,31.237904553446583,23,2,returns
plantain/Ho,plantain,0.7670079014301301,1.0577237650173854,16.03729351629622,41,3,returns
plantain/Hohoe,plantain,1.0430176888193403,1.3483665487680114,12.174954794295552,21,1,returns
plantain/Kintampo,plantain,1.392892416392763,2.012482014407587,28.78451632954263,35,3,returns
plantain/Koforidua,plantain,0.8696104261610241,1.1821146727881588,23.962125783398406,38,3,returns
plantain/Kumasi,plantain,2.4927273563875096,4.137144065009404,36.43840959960383,48,3,returns
plantain/Mankessim,plantain,0.8871977842251461,1.2442504840675985,19.202451146810915,43,3,returns
plantain/Obuasi,plantain,0.8644173285563787,1.1446754807389616,14.803247907486261,42,3,returns
plantain/Sekondi-Takoradi,plantain,1.3869080389870538,2.0652765202568126,22.584288322772892,49,3,returns
plantain/Sunyani,plantain,1.206530053988099,1.5519169408847957,42.749497732800364,50,4,returns
plantain/Tamale,plantain,0.6821106500426928,1.003245022987872,12.178441384075649,43,3,returns
plantain/Techiman,plantain,1.2369654966145753,1.7090105888321863,27.278280556038897,51,4,returns
plantain/Tema,plantain,5.592428895072504,8.75776650725968,82.22432975274948,47,3,returns
plantain/Wa,plantain,1.6459432886292535,2.1555221449987516,25.67792151636213,34,3,returns
rice/Accra,rice,0.7183475167900324,1.0408208480095726,7.977694428793578,52,4,returns
rice/Bolgatanga,rice,0.4568019415212401,0.7356911324513483,8.786911576324167,47,3,returns
rice/Cape Coast,rice,0.637949249818921,0.8414248622209936,6.641547415431682,52,4,returns
rice/Ejura,rice,0.9613289311102458,1.6475678160920688,12.873425164512085,31,3,returns
rice/Garu,rice,1.1557582876831292,1.7802348875820044,13.040529422533169,25,2,returns
rice/Ho,rice,0.45640019035339363,0.6052380513084162,5.684804716392111,41,3,returns
rice/Hohoe,rice,1.3965593128544944,2.0836748254594606,12.286239727236453,21,1,returns
